BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
5220 W CENTURY BLVD,449259802569,718.2,COMPLIED,-52.1,-52.1,97.0,Yes,03/23/2017,"2017, 2013, 2012, 2011, 2010, 2009, 2008, 2004, 2003, 2002, 2001, 2000","Environmental SAVE, LLC",324463.0,3156.0,9.73,1.0,60.0,Not Available,90045,2017,Office,30.6,86.2,3156.0,31.7,87.3,1982,018,"100,000+ sqft"
11051 VICTORY BLVD,449399891254,,NOT COMPLIED,,,,,,,,,,,,,,91406,2017,,,,,,,,020,"100,000+ sqft"
18200 RINALDI PL,401805923505,,NOT COMPLIED,,,,,,,,,,,,,,91326,2018,,,,,,,,049,"20,000 to 49,999 sqft"
635 S NORTON AVE,465693845170,107.6,COMPLIED,-19.9,-19.9,80.0,No,Not Available,Not Available,AR Properties,58176.0,Not Available,Not Available,1.0,95.0,Not Available,90005,2017,Multifamily Housing,30.5,53.1,3551.0,Not Available,Not Available,2008,041,"50,000 to 99,999 sqft"
1825 WHITLEY AVE,460696860378,166.4,COMPLIED,56.6,56.6,3.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",45156.0,Not Available,Not Available,1.0,100.0,Not Available,90028,2018,Multifamily Housing,58.7,118.9,2861.1,Not Available,Not Available,1928,029,"20,000 to 49,999 sqft"
13160 W FOUNTAIN PARK DR,431772813347,49.6,COMPLIED,-4.9,-4.9,Not Available,No,Not Available,Not Available,ece_cola_gsd,15105.0,137.1,9.07,1.0,100.0,Not Available,90094,2018,Fire Station,49.3,118.7,284.4,47.9,114.1,2007,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
7333 WORLD WAY WEST,432909801763,287.6,COMPLIED,-11.7,-11.7,61.0,No,Not Available,Not Available,Los Angeles World Airports,64947.0,Not Available,Not Available,1.0,50.0,Not Available,90045,2017,Office,61.9,169.8,5734.6,Not Available,Not Available,1982,903,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
5627 SEPULVEDA BLVD,420459885730,61.6,COMPLIED,7.6,7.6,Not Available,No,Not Available,Not Available,"CB, LLC",24000.0,Not Available,Not Available,1.0,80.0,Not Available,91411,2018,Mixed Use Property,37.8,96.0,120.5,37.1,92.5,1964,008,"50,000 to 99,999 sqft"
6430 W SUNSET BLVD,461780858099,1574.8,COMPLIED,-30.3,-30.3,82.0,No,08/28/2017,"2017, 2015, 2014, 2013",CodeGreen Solutions Inc.,216163.0,Not Available,Not Available,1.0,90.0,Not Available,90028,2017,Office,99.0,290.3,2963.4,98.5,287.0,1968,047,"100,000+ sqft"
528 S ALEXANDRIA AVE,471539845957,,NOT COMPLIED,,,,,,,,,,,,,,90020,2018,,,,,,,,002,"20,000 to 49,999 sqft"
14435 SHERMAN WAY,426323896184,192.8,COMPLIED,-26.0,-26.0,Not Available,No,Not Available,Not Available,Plaza Inv,45946.0,Not Available,Not Available,1.0,95.0,Not Available,91405,2018,Other - Mall,59.6,166.8,1403.3,59.6,166.8,1979,046,"20,000 to 49,999 sqft"
10520 NATIONAL BLVD,436407833568,22.7,COMPLIED,-85.5,-85.5,Not Available,No,Not Available,Not Available,KMK Management,35700.0,Not Available,Not Available,1.0,100.0,Not Available,90034,2018,Multifamily Housing,10.9,17.1,790.7,11.3,17.4,1987,049,"20,000 to 49,999 sqft"
130 N ALEXANDRIA AVE,471365849343,120.1,COMPLIED,16.5,16.5,27.0,No,Not Available,Not Available,Orlean Apartment,36012.0,Not Available,Not Available,1.0,100.0,Not Available,90004,2018,Multifamily Housing,52.7,109.2,2943.6,52.7,109.2,1971,036,"20,000 to 49,999 sqft"
401 S BARRINGTON AVE,419631844761,,NOT COMPLIED,,,,,,,,,,,,,,90049,2018,,,,,,,,016,"50,000 to 99,999 sqft"
17 THORNTON AVE,416927819990,,NOT COMPLIED,,,,,,,,,,,,,,90291,2018,,,,,,,,028,"20,000 to 49,999 sqft"
12001 N BLUCHER AVE,419391928269,102.7,COMPLIED,41.3,41.3,19.0,No,Not Available,Not Available,ece_cola_gsd,14700.0,Not Available,Not Available,1.0,100.0,Not Available,91344,2016,Office,99.8,259.8,173.4,101.0,258.7,1990,910,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
5921 WHITSETT AVE,439019887458,84.7,COMPLIED,2.4,2.4,45.0,No,Not Available,Not Available,"RealPage Utility Management, Inc.",25342.0,Not Available,Not Available,1.0,95.0,Not Available,91607,2018,Multifamily Housing,50.8,118.8,1365.1,49.8,115.1,1984,014,"20,000 to 49,999 sqft"
11037 PENROSE ST,449166906247,,NOT COMPLIED,,,,,,,,,,,,,,91352,2018,,,,,,,,026,"20,000 to 49,999 sqft"
20500 PLUMMER ST,386258911020,18.0,COMPLIED,-31.5,-31.5,69.0,No,Not Available,Not Available,Kent Sports,24500.0,Not Available,Not Available,1.0,100.0,Not Available,91311,2018,Non-Refrigerated Warehouse,10.5,29.3,279.8,9.7,27.2,1978,001,"20,000 to 49,999 sqft"
4370 WORTH ST,504102845130,21.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,A&A Wiping Cloth,34000.0,Not Available,Not Available,1.0,100.0,Not Available,90063,2018,Manufacturing/Industrial Plant,11.3,14.6,62.8,11.3,14.6,1920,013,"20,000 to 49,999 sqft"
17615 VENTURA BLVD,405318881947,,NOT COMPLIED,,,,,,,,,,,,,,91316,2018,,,,,,,,040,"20,000 to 49,999 sqft"
5020 WOODMAN AVE,431345881632,54.0,COMPLIED,-74.0,-74.0,100.0,No,Not Available,Not Available,AR Properties,44934.0,Not Available,Not Available,1.0,40.0,Not Available,91423,2018,Multifamily Housing,21.1,30.4,2261.0,Not Available,Not Available,1961,031,"20,000 to 49,999 sqft"
14400 VALERIO ST,426566897049,111.7,COMPLIED,-1.3,-1.3,52.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",40413.0,Not Available,Not Available,1.0,100.0,Not Available,91405,2018,Multifamily Housing,45.2,84.1,2281.6,45.9,84.9,1988,045,"20,000 to 49,999 sqft"
620 W 6TH ST,473165727570,,NOT COMPLIED,,,,,,,,,,,,,,90731,2018,,,,,,,,035,"20,000 to 49,999 sqft"
458 S HARTFORD AVE,T00000000320,190.9,COMPLIED,-32.6,-32.6,95.0,No,Not Available,Not Available,"Conservice, LLC",91879.0,Not Available,Not Available,2.0,100.0,Not Available,90017,2017,Multifamily Housing,32.6,66.2,5323.1,33.0,66.6,2010,034,"50,000 to 99,999 sqft"
13261 GLENOAKS BLVD,424136936031,,NOT COMPLIED,,,,,,,,,,,,,,91342,2018,,,,,,,,038,"20,000 to 49,999 sqft"
347 WESTMINSTER AVE,465825847097,,NOT COMPLIED,,,,,,,,,,,,,,90020,2018,,,,,,,,026,"20,000 to 49,999 sqft"
8655 S SEPULVEDA BLVD,441384807466,83.8,COMPLIED,-13.7,-13.7,64.0,No,Not Available,Not Available,CBRE,28678.0,125.6,4.38,1.0,100.0,Not Available,90045,2018,Retail Store,41.5,116.1,125.6,40.3,112.8,1952,003,"20,000 to 49,999 sqft"
4210 S NORMANDIE AVE,470788825043,,NOT COMPLIED,,,,,,,,,,,,,,90037,2018,,,,,,,,029,"20,000 to 49,999 sqft"
856 HILGARD AVE,428347846367,23.7,COMPLIED,-41.7,-41.7,92.0,Yes,Not Available,Not Available,Corp of Pres Bishop of Church of Jesus Christ LDS,20032.0,Not Available,Not Available,1.0,100.0,Not Available,90024,2018,Worship Facility,18.9,37.9,306.1,Not Available,Not Available,1936,021,"20,000 to 49,999 sqft"
6030 CANOGA AVE,381325888473,62.4,COMPLIED,-53.3,-53.3,Not Available,No,Not Available,Not Available,Storage Etc,111000.0,Not Available,Not Available,1.0,90.0,Not Available,91367,2017,Self-Storage Facility,8.0,22.3,Not Available,8.0,22.3,2003,053,"100,000+ sqft"
4470 W COLISEUM ST,457009828962,77.1,COMPLIED,-32.3,-32.3,Not Available,No,Not Available,Not Available,ece_cola_gsd,25281.0,Not Available,Not Available,1.0,100.0,Not Available,90016,2016,Fire Station,45.9,104.4,498.1,44.6,100.5,2009,904,"15,000 to 19,999 sqft (CITY OWNED BUILDING)"
9947 DE SOTO AVE,383613914422,33.7,COMPLIED,-78.3,-78.3,100.0,No,Not Available,Not Available,Landmark,25972.0,Not Available,Not Available,1.0,95.0,Not Available,91311,2018,Multifamily Housing,23.3,30.5,1478.1,23.3,30.5,1964,020,"20,000 to 49,999 sqft"
1644 W CARSON ST,468175761047,,NOT COMPLIED,,,,,,,,,,,,,,90501,2018,,,,,,,,043,"20,000 to 49,999 sqft"
3115 ORCHARD AVE,473827831986,493.3,COMPLIED,-61.1,-61.1,Not Available,No,Not Available,Not Available,University of Southern California,209211.0,10.1,0.05,2.0,90.0,Not Available,90007,2018,Residence Hall/Dormitory,36.0,82.9,10.1,35.9,82.8,1978,060,"100,000+ sqft"
16841 KINGSBURY ST,410778918618,,NOT COMPLIED,,,,,,,,,,,,,,91344,2018,,,,,,,,033,"20,000 to 49,999 sqft"
3353 W SAN FERNANDO RD,486252865891,,NOT COMPLIED,,,,,,,,,,,,,,90065,2017,,,,,,,,903,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
6222 WILSHIRE BLVD,451338845483,,NOT COMPLIED,,,,,,,,,,,,,,90048,2017,,,,,,,,BRK,"50,000 to 99,999 sqft"
640 S HILL ST,484821839207,1922.5,COMPLIED,82.1,82.1,Not Available,No,Not Available,Not Available,Los Angeles United Investment Company,442107.0,Not Available,Not Available,0.0,90.0,Not Available,90014,2018,Other,64.1,162.5,8138.8,64.0,161.8,1908,042,"100,000+ sqft"
1177 S BEVERLY DR,441680842867,674.4,COMPLIED,72.3,72.3,4.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",111051.0,Not Available,Not Available,1.0,100.0,Not Available,90035,2017,Hotel,96.0,199.1,5854.3,95.4,196.2,1969,035,"100,000+ sqft"
7350 KESTER AVE,423470897159,146.3,COMPLIED,18.4,18.4,22.0,No,Not Available,Not Available,"RealPage Utility Management, Inc.",48352.0,Not Available,Not Available,1.0,95.0,Not Available,91405,2018,Multifamily Housing,44.1,115.1,2248.4,42.3,109.6,1970,026,"20,000 to 49,999 sqft"
121 N LA CIENEGA BLVD,447470850115,4026.2,COMPLIED,-9.6,-9.6,Not Available,No,Not Available,Not Available,Taubman,782346.0,Not Available,Not Available,1.0,95.0,Not Available,90048,2017,Enclosed Mall,67.9,213.1,6174.0,Not Available,Not Available,1982,008,"100,000+ sqft"
1000 E 60TH ST,483624817089,,NOT COMPLIED,,,,,,,,,,,,,,90001,2018,,,,,,,,009,"20,000 to 49,999 sqft"
9638 TOPANGA CANYON PL,378980912130,51.6,COMPLIED,-60.3,-60.3,93.0,No,Not Available,Not Available,Northwest Business Park,26885.0,Not Available,Not Available,1.0,100.0,Not Available,91311,2018,Non-Refrigerated Warehouse,28.8,69.6,80.7,31.9,72.9,1981,050,"20,000 to 49,999 sqft"
1414 S GRAND AVE,481288835751,288.2,COMPLIED,-16.1,-16.1,62.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",61949.0,Not Available,Not Available,1.0,100.0,Not Available,90015,2017,Medical Office,72.4,157.4,1112.2,Not Available,Not Available,1988,024,"50,000 to 99,999 sqft"
11541 BRADLEY AVE,431479924134,,NOT COMPLIED,,,,,,,,,,,,,,91340,2018,,,,,,,,004,"20,000 to 49,999 sqft"
1318 N MANSFIELD AVE,458694857175,45.9,COMPLIED,-24.4,-24.4,85.0,No,Not Available,Not Available,"RealPage Utility Management, Inc.",20590.0,Not Available,Not Available,1.0,95.0,Not Available,90028,2018,Multifamily Housing,36.6,67.2,1182.9,36.6,67.2,1988,048,"20,000 to 49,999 sqft"
19036 W VANOWEN ST,395946893159,84.8,COMPLIED,67.6,67.6,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,14000.0,Not Available,Not Available,1.0,100.0,Not Available,91335,2017,Library,86.0,240.7,383.0,Not Available,Not Available,2002,906,"15,000 to 19,999 sqft (CITY OWNED BUILDING)"
1701 E WASHINGTON BLVD,488192830051,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,059,"20,000 to 49,999 sqft"
2479 W WASHINGTON BLVD,T00000000373,,NOT COMPLIED,,,,,,,,,,,,,,90018,2018,,,,,,,,027,"20,000 to 49,999 sqft"
1500 E LOMITA BLVD,485934747843,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Hunt Enterprises, Inc.",22000.0,Not Available,Not Available,1.0,100.0,Not Available,90744,2018,Parking,Not Available,Not Available,Not Available,Not Available,Not Available,1995,001,"100,000+ sqft"
11904 CHANDLER BLVD,443027883764,,NOT COMPLIED,,,,,,,,,,,,,,91607,2018,,,,,,,,032,"20,000 to 49,999 sqft"
2300 E 11TH ST,491700830731,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,004,"20,000 to 49,999 sqft"
5823 PEACH AVE,420271887164,24.2,COMPLIED,-85.0,-85.0,Not Available,No,Not Available,Not Available,EZ Storage related companies,139870.0,Not Available,Not Available,1.0,85.0,Not Available,91411,2017,Self-Storage Facility,2.3,7.2,39.8,2.3,7.2,1976,030,"50,000 to 99,999 sqft"
719 S LOS ANGELES ST,485569838109,,NOT COMPLIED,,,,,,,,,,,,,,90014,2018,,,,,,,,002,"100,000+ sqft"
21011 ITASCA ST,383005912194,0.4,COMPLIED,-99.7,-99.7,Not Available,No,Not Available,Not Available,Jasin Company,33850.0,1.6,0.05,1.0,85.0,Not Available,91311,2018,Manufacturing/Industrial Plant,0.2,0.4,1.6,0.2,0.5,1976,016,"20,000 to 49,999 sqft"
1504 W 228TH ST,469241756568,8.8,COMPLIED,-93.2,-93.2,Not Available,No,Not Available,Not Available,Rexford Industrial,89236.0,Not Available,Not Available,8.0,100.0,Not Available,90501,2017,Non-Refrigerated Warehouse,1.3,4.1,89.8,1.3,4.1,1963,078,"50,000 to 99,999 sqft"
1420 N ALTA VISTA BLVD,456785857605,218.7,COMPLIED,-21.5,-21.5,81.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",109976.0,Not Available,Not Available,1.0,100.0,Not Available,90046,2018,Multifamily Housing,32.0,62.8,6353.2,32.1,62.9,1987,046,"100,000+ sqft"
6701 ETON AVE,381424892852,,NOT COMPLIED,,,,,,,,,,,,,,91303,2016,,,,,,,,039,"100,000+ sqft"
9335 LAUREL CANYON BLVD,437419909362,23.6,COMPLIED,-62.9,-62.9,Not Available,No,Not Available,Not Available,"Laurel Canyon Stages, Inc.",22275.0,75.0,3.37,1.0,100.0,Not Available,91331,2018,Other - Entertainment/Public Assembly,15.2,41.6,75.0,14.7,40.3,1971,015,"20,000 to 49,999 sqft"
21029 ITASCA ST,382761912186,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Jasin Company,34446.0,Not Available,Not Available,1.0,75.0,Not Available,91311,2018,Refrigerated Warehouse,Not Available,Not Available,468.9,Not Available,Not Available,1976,017,"20,000 to 49,999 sqft"
232 E 4TH ST,487353839363,6.4,COMPLIED,-95.0,-95.0,Not Available,No,Not Available,Not Available,WOO INVESTMENTS,22500.0,18.0,0.8,1.0,70.0,Not Available,90013,2018,Other - Mall,4.1,11.4,18.0,4.1,11.4,1912,014,"20,000 to 49,999 sqft"
2200 N BEACHWOOD DR,464553862669,95.6,COMPLIED,-10.9,-10.9,67.0,No,Not Available,Not Available,Yardi Energy,40491.0,2852.6,70.45,1.0,95.0,Not Available,90068,2018,Multifamily Housing,38.5,72.1,2852.6,38.8,71.4,1964,027,"20,000 to 49,999 sqft"
1622 WILCOX AVE,461576859113,43.3,COMPLIED,-35.5,-35.5,83.0,No,Not Available,Not Available,MUSICIANS INSTITUTE,22278.0,1050.2,47.14,1.0,100.0,Not Available,90028,2018,Residence Hall/Dormitory,27.6,77.3,1050.2,27.6,77.3,1923,006,"20,000 to 49,999 sqft"
12248 MONTANA AVE,417836840370,,NOT COMPLIED,,,,,,,,,,,,,,90049,2018,,,,,,,,005,"20,000 to 49,999 sqft"
7080 HOLLYWOOD BLVD,457379859361,511.1,COMPLIED,-24.2,-24.2,Not Available,No,Not Available,Not Available,"Jamison Services, Inc.",164898.0,Not Available,Not Available,1.0,70.0,Not Available,90028,2016,Office,35.7,112.2,3790.4,Not Available,Not Available,1966,014,"100,000+ sqft"
23450 CALABASAS RD,368785880344,,NOT COMPLIED,,,,,,,,,,,,,,91302,2018,,,,,,,,003,"100,000+ sqft"
9700 WOODMAN AVE,426786912753,242.8,COMPLIED,-80.5,-80.5,100.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",78778.0,Not Available,Not Available,1.0,100.0,Not Available,91331,2017,Supermarket/Grocery Store,41.2,125.5,1065.2,41.2,125.5,1992,025,"50,000 to 99,999 sqft"
1206 MAPLE AVE,484004835314,,NOT COMPLIED,,,,,,,,,,,,,,90015,2017,,,,,,,,011,"100,000+ sqft"
500 W 112TH ST,475791798305,,NOT COMPLIED,,,,,,,,,,,,,,90044,2018,,,,,,,,BRK,"20,000 to 49,999 sqft"
10310 NORRIS AVE,440136916262,11.3,COMPLIED,-56.8,-56.8,86.0,Yes,Not Available,Not Available,"Delphi Business Properties, Inc.",28808.0,Not Available,Not Available,1.0,100.0,Not Available,91331,2018,Distribution Center,5.6,15.6,143.6,5.5,15.3,1989,033,"20,000 to 49,999 sqft"
8851 N LAUREL CANYON BLVD,440361905986,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10985.0,Not Available,Not Available,1.0,100.0,Not Available,91352,2016,Other - Recreation,Not Available,Not Available,1758.7,Not Available,Not Available,1992,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
7947 WILLIS AVE,423898901171,,NOT COMPLIED,,,,,,,,,,,,,,91402,2018,,,,,,,,016,"20,000 to 49,999 sqft"
8617 WILBUR AVE,396749905495,,NOT COMPLIED,,,,,,,,,,,,,,91324,2018,,,,,,,,055,"20,000 to 49,999 sqft"
13306 W BRANFORD ST,433606907394,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10720.0,Not Available,Not Available,1.0,100.0,Not Available,91331,2016,Other - Recreation,Not Available,Not Available,19.4,Not Available,Not Available,1977,902,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
14646 DICKENS ST,424500877327,,NOT COMPLIED,,,,,,,,,,,,,,91403,2018,,,,,,,,032,"20,000 to 49,999 sqft"
529 W 7TH ST,484069839757,2184.3,COMPLIED,888.3,888.3,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",75251.0,Not Available,Not Available,3.0,100.0,Not Available,90014,2017,Office,412.9,1150.1,3669.9,412.9,1150.1,2000,028,"50,000 to 99,999 sqft"
300 S SANTA FE AVE,491289838585,5736.0,COMPLIED,557.9,557.9,1.0,No,Not Available,Not Available,"Conservice, LLC",334375.0,Not Available,Not Available,1.0,95.0,Not Available,90012,2017,Multifamily Housing,243.6,643.7,23.4,243.6,643.7,2014,900,"100,000+ sqft"
4434 LOS FELIZ BLVD,474987863203,,NOT COMPLIED,,,,,,,,,,,,,,90027,2018,,,,,,,,004,"20,000 to 49,999 sqft"
3183 WILSHIRE BLVD,473580845120,1317.0,NOT COMPLIED,-11.7,-11.7,72.0,No,Not Available,Not Available,Byram Laboritories,367371.0,13939.1,37.94,2.0,90.0,Not Available,90010,2018,Multifamily Housing,59.3,106.2,13939.1,58.8,105.7,2007,916,"100,000+ sqft"
2183 E 11TH ST,490768831541,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,027,"20,000 to 49,999 sqft"
6510 FOREST LAWN DR,460809875798,122.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Warner Bros. Studio Facilities,300000.0,Not Available,Not Available,1.0,5.0,Not Available,90068,2017,Parking,5.4,16.9,2108.7,5.4,16.9,2006,021,"100,000+ sqft"
8700 TAMPA AVE,394601906095,,NOT COMPLIED,,,,,,,,,,,,,,91324,2018,,,,,,,,061,"50,000 to 99,999 sqft"
11175 HUSTON ST,448497880845,112.1,COMPLIED,96.8,96.8,1.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",24098.0,Not Available,Not Available,1.0,100.0,Not Available,91601,2018,Multifamily Housing,72.4,157.4,432.6,Not Available,Not Available,1965,011,"20,000 to 49,999 sqft"
717 W TEMPLE ST,486623844160,215.5,COMPLIED,7.8,7.8,44.0,No,Not Available,Not Available,First City Credit Union,56000.0,Not Available,Not Available,1.0,75.0,Not Available,90012,2018,Financial Office,56.4,145.3,43.5,56.1,144.6,1978,049,"50,000 to 99,999 sqft"
19040 W VANOWEN ST,396173893034,78.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,ece_cola_gsd,84830.0,Not Available,Not Available,1.0,100.0,Not Available,91335,2017,Parking,13.6,32.9,286.9,13.9,33.1,1990,906,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
2231 S SAWTELLE BLVD,428070836277,,NOT COMPLIED,,,,,,,,,,,,,,90064,2018,,,,,,,,019,"50,000 to 99,999 sqft"
8221 W SUNSET BLVD,450123858366,,NOT COMPLIED,,,,,,,,,,,,,,90046,2017,,,,,,,,010,"50,000 to 99,999 sqft"
10833 WILSHIRE BLVD,427978844472,687.8,COMPLIED,13.9,13.9,29.0,No,Not Available,Not Available,Nuveen,220767.0,Not Available,Not Available,1.0,100.0,Not Available,90024,2017,Multifamily Housing,46.5,108.0,9991.9,47.8,109.3,2001,023,"100,000+ sqft"
1840 FAIRBURN AVE,432485842305,120.3,COMPLIED,-12.9,-12.9,75.0,No,Not Available,Not Available,Faoro Family Trust,62379.0,Not Available,Not Available,1.0,100.0,Not Available,90025,2017,Multifamily Housing,31.2,57.8,2443.9,31.2,57.8,1970,009,"50,000 to 99,999 sqft"
7301 WORLD WAY WEST,433334801580,565.9,COMPLIED,-21.7,-21.7,70.0,No,Not Available,Not Available,Los Angeles World Airports,142656.0,Not Available,Not Available,1.0,50.0,Not Available,90045,2017,Office,53.2,160.7,6444.8,Not Available,Not Available,1976,903,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
18020 CHATSWORTH ST,403088918615,,NOT COMPLIED,,,,,,,,,,,,,,91344,2018,,,,,,,,023,"20,000 to 49,999 sqft"
1840 W YOSEMITE DR,498802870987,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",8615.0,Not Available,Not Available,1.0,100.0,Not Available,90041,2018,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1979,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
930 N MARTEL AVE,455413854591,,NOT COMPLIED,,,,,,,,,,,,,,90046,2018,,,,,,,,004,"20,000 to 49,999 sqft"
5539 RIVERTON AVE,450696884785,3.9,COMPLIED,-98.6,-98.6,100.0,No,Not Available,Not Available,Reel Efx Inc/Riverton Property LLC,45000.0,Not Available,Not Available,1.0,100.0,Not Available,91601,2017,Office,1.6,1.7,363.6,2.4,2.5,1961,026,"50,000 to 99,999 sqft"
4390 COLFAX AVE,444429877170,29.0,COMPLIED,-18.1,-18.1,62.0,No,Not Available,Not Available,First Christian Church of N. Hollywood,22470.0,Not Available,Not Available,1.0,100.0,Not Available,91604,2018,Worship Facility,19.9,44.3,355.4,Not Available,Not Available,1950,022,"20,000 to 49,999 sqft"
611 W 6TH ST,484260840436,1284.2,COMPLIED,-48.9,-48.9,90.0,No,Not Available,Not Available,"611 West Sixth GC Owner, LLC",856039.0,1997.8,2.33,1.0,10.0,Not Available,90017,2018,Office,21.3,59.6,1997.8,21.3,59.6,1967,400,"100,000+ sqft"
745 S OXFORD AVE,468324843694,480.9,COMPLIED,-13.8,-13.8,66.0,No,Not Available,Not Available,Oxford Palace Hotel,114317.0,Not Available,Not Available,1.0,75.0,Not Available,90005,2017,Hotel,62.2,148.3,6083.2,61.8,146.4,1991,027,"50,000 to 99,999 sqft"
729 S MAIN ST,485097838412,274.1,COMPLIED,393.2,393.2,1.0,No,Not Available,Not Available,The John Stewart Company,30942.0,Not Available,Not Available,1.0,95.0,Not Available,90014,2018,Multifamily Housing,143.3,276.4,6225.3,Not Available,Not Available,2000,054,"20,000 to 49,999 sqft"
8900 S SEPULVEDA BLVD,441641806449,117.8,COMPLIED,17.0,17.0,34.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",25312.0,Not Available,Not Available,1.0,100.0,Not Available,90045,2018,Retail Store,72.4,157.4,454.4,Not Available,Not Available,1999,031,"20,000 to 49,999 sqft"
14069 BALBOA BLVD,414613939832,74.2,COMPLIED,-27.2,-27.2,Not Available,No,Not Available,Not Available,Frito-Lay,75107.0,Not Available,Not Available,2.0,100.0,Not Available,91342,2018,Distribution Center,14.2,38.5,322.8,14.3,38.6,1997,031,"50,000 to 99,999 sqft"
624 S GRAND AVE,484256839921,6599.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Hines,661553.0,28283.5,42.75,1.0,90.0,Not Available,90017,2016,Data Center,131.5,413.1,28283.5,131.5,413.1,1965,014,"100,000+ sqft"
14650 PARTHENIA ST,424910905504,301.2,COMPLIED,-53.3,-53.3,Not Available,No,Not Available,Not Available,"MSW Properties, LLC",113316.0,2254.6,19.9,1.0,100.0,Not Available,91402,2017,Enclosed Mall,35.1,110.1,2254.6,33.8,106.2,1964,059,"100,000+ sqft"
6201 N WINNETKA AVE,387473889624,,NOT COMPLIED,,,,,,,,,,,,,,91367,2018,,,,,,,,902,"20,000 to 49,999 sqft"
1725 S TOBERMAN ST,477210836780,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10311.0,Not Available,Not Available,1.0,100.0,Not Available,90015,2016,Other - Recreation,Not Available,Not Available,1416.8,Not Available,Not Available,1950,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
17323 VENTURA BLVD,407213881517,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Uniworld Global Assets,50140.0,Not Available,Not Available,1.0,100.0,Not Available,91316,2017,Office,Not Available,Not Available,Not Available,Not Available,Not Available,1987,056,"50,000 to 99,999 sqft"
1430 ELKGROVE CIR,423058823156,,NOT COMPLIED,,,,,,,,,,,,,,90291,2018,,,,,,,,033,"20,000 to 49,999 sqft"
616 S ST PAUL AVE,482599841590,501.5,COMPLIED,-9.2,-9.2,64.0,No,Not Available,Not Available,"RealPage Utility Management, Inc.",225000.0,Not Available,Not Available,1.0,95.0,Not Available,90017,2018,Multifamily Housing,36.6,67.2,8317.4,36.6,67.2,2000,008,"100,000+ sqft"
