BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
1665 MATEO ST,491081831359,33.6,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Universal Dyeing & Printing,60240.0,466.8,7.75,1.0,100.0,Not Available,90021,2017,Manufacturing/Industrial Plant,7.9,22.2,466.8,7.7,21.5,1987,030,"50,000 to 99,999 sqft"
738 S NEW HAMPSHIRE AVE,473025843826,92.1,COMPLIED,-26.0,-26.0,87.0,No,Not Available,Not Available,First Light Property Management,48779.0,Not Available,Not Available,1.0,95.0,Not Available,90005,2018,Multifamily Housing,31.3,51.2,2825.4,31.1,50.7,1922,013,"20,000 to 49,999 sqft"
5150 YARMOUTH AVE,404490882617,12.4,COMPLIED,-92.3,-92.3,100.0,No,Not Available,Not Available,The Eberly Company,65269.0,Not Available,Not Available,1.0,100.0,Not Available,91316,2017,Multifamily Housing,2.7,7.6,2734.6,2.7,7.7,1964,012,"50,000 to 99,999 sqft"
6150 N DE SOTO AVE,383476888676,62.0,COMPLIED,-20.5,-20.5,81.0,No,Not Available,Not Available,equity residential,27825.0,Not Available,Not Available,1.0,95.0,Not Available,91367,2018,Multifamily Housing,36.6,67.2,1817.4,37.3,67.9,2003,021,"20,000 to 49,999 sqft"
5937 AVALON BLVD,481168817512,,NOT COMPLIED,,,,,,,,,,,,,,90003,2018,,,,,,,,028,"20,000 to 49,999 sqft"
734 VALENCIA ST,479953841452,,NOT COMPLIED,,,,,,,,,,,,,,90017,2018,,,,,,,,021,"20,000 to 49,999 sqft"
7500 LANKERSHIM BLVD,444559898029,,NOT COMPLIED,,,,,,,,,,,,,,91605,2018,,,,,,,,003,"20,000 to 49,999 sqft"
4410 SEPULVEDA BLVD,T00000000195,47.9,COMPLIED,-60.0,-60.0,100.0,No,Not Available,Not Available,4410 Sepulveda LLC,38657.0,Not Available,Not Available,1.0,95.0,Not Available,91403,2018,Multifamily Housing,21.1,34.0,1938.8,Not Available,Not Available,2010,102,"20,000 to 49,999 sqft"
3835 W 8TH ST,467643843739,115.5,COMPLIED,-25.8,-25.8,86.0,No,Not Available,Not Available,Unknown,43266.0,Not Available,Not Available,1.0,100.0,Not Available,90005,2018,Multifamily Housing,45.6,73.0,1529.0,45.5,73.0,1928,023,"20,000 to 49,999 sqft"
151 S LAYTON DR,419815847266,,NOT COMPLIED,,,,,,,,,,,,,,90049,2018,,,,,,,,032,"20,000 to 49,999 sqft"
11135 WEDDINGTON ST,448455883475,632.1,NOT COMPLIED,9.8,9.8,35.0,No,Not Available,Not Available,MWest Residential,277069.0,Not Available,Not Available,1.0,100.0,Not Available,91601,2018,Multifamily Housing,35.7,76.3,10995.6,36.7,77.3,2007,115,"100,000+ sqft"
1550 W 35TH PL,469478831070,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10342.0,Not Available,Not Available,1.0,100.0,Not Available,90018,2018,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,2000,902,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
860 S WOOSTER ST,445948844860,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Rockdyne Enterprises,17000.0,Not Available,Not Available,1.0,100.0,Not Available,90035,2018,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1963,036,"20,000 to 49,999 sqft"
7900 DEERING AVE,382001900771,8.3,COMPLIED,-90.8,-90.8,Not Available,No,Not Available,Not Available,Public Storage,74775.0,183.0,2.45,1.0,100.0,Not Available,91304,2018,Self-Storage Facility,1.6,4.4,183.0,1.6,4.4,2010,025,"20,000 to 49,999 sqft"
10158 BALBOA BLVD,410153915788,278.2,COMPLIED,-31.2,-31.2,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",59800.0,Not Available,Not Available,1.0,100.0,Not Available,91344,2018,Strip Mall,72.4,157.4,1073.6,Not Available,Not Available,1958,026,"50,000 to 99,999 sqft"
209 WORLD WAY,439600802294,221.5,COMPLIED,115.3,115.3,Not Available,No,Not Available,Not Available,Los Angeles World Airports,45514.0,Not Available,Not Available,1.0,50.0,Not Available,90045,2018,Other,69.4,192.2,2379.0,69.4,192.2,1961,902,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
11049 MAGNOLIA BLVD,449176882791,655.4,COMPLIED,6.1,6.1,39.0,No,Not Available,Not Available,"Conservice, LLC",210989.0,Not Available,Not Available,1.0,90.0,Not Available,91601,2017,Multifamily Housing,47.0,105.5,12.4,47.9,106.5,2008,085,"100,000+ sqft"
5359 VALLEY BLVD,511160849667,110.7,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Green Aid Recovery Group, Inc.",34019.0,Not Available,Not Available,2.0,100.0,Not Available,90032,2017,Manufacturing/Industrial Plant,42.9,134.7,238.9,42.9,134.7,1953,023,"50,000 to 99,999 sqft"
430 S FULLER AVE,454752846678,664.1,COMPLIED,-3.0,-3.0,54.0,No,Not Available,Not Available,AUM,192306.0,Not Available,Not Available,1.0,95.0,Not Available,90036,2018,Multifamily Housing,61.3,84.3,10633.6,61.3,84.3,1951,009,"100,000+ sqft"
22750 ROSCOE BLVD,373578902586,152.4,NOT COMPLIED,13.3,13.3,37.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",32753.0,Not Available,Not Available,1.0,100.0,Not Available,91304,2018,Wholesale Club/Supercenter,72.4,157.4,588.0,Not Available,Not Available,1978,004,"20,000 to 49,999 sqft"
21500 NORDHOFF ST,380710908408,,NOT COMPLIED,,,,,,,,,,,,,,91311,2018,,,,,,,,020,"20,000 to 49,999 sqft"
1111 S FIGUEROA PL,476001743404,,NOT COMPLIED,,,,,,,,,,,,,,90744,2018,,,,,,,,902,"20,000 to 49,999 sqft"
7250 WORLD WAY WEST,434439800990,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,38702.0,Not Available,Not Available,1.0,50.0,Not Available,90045,2017,Fire Station,Not Available,Not Available,9570.5,Not Available,Not Available,1958,903,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
20334 SATICOY ST,387323898543,,NOT COMPLIED,,,,,,,,,,,,,,91306,2018,,,,,,,,005,"20,000 to 49,999 sqft"
